Station_number;Latitude;Longitude;Inv_00;Inv_P_00;Inv_12;Inv_P_12;Inv_TT;Inv_P_TT;TotalYear;TotalYearTT
01001;70.93;-8.65;3.704;86.552;3.938;89.080;3.822;87.813;28.953;29.012
01028;74.51;19.01;3.696;85.344;3.984;87.816;3.842;86.578;28.871;28.914
01241;63.70;9.60;3.158;80.873;4.465;91.775;3.853;86.321;28.014;28.030
01415;58.86;5.65;3.223;87.585;5.022;97.872;4.174;92.737;28.321;28.273
03005;60.13;-1.17;3.756;92.566;5.000;96.420;4.388;94.484;29.003;29.132
04018;63.95;-22.60;3.338;92.351;4.387;95.721;3.870;94.030;28.238;28.340
04270;61.15;-45.43;3.260;75.972;3.295;70.765;3.277;73.372;28.677;28.711
04320;76.76;-18.65;2.223;45.077;2.597;51.952;2.423;48.512;28.425;28.447
70133;66.86;-162.63;3.499;57.773;2.579;46.088;3.091;51.932;28.605;28.612
70200;64.50;-165.43;3.700;78.821;2.458;58.702;3.171;68.786;28.666;28.737
70219;60.78;-161.84;4.934;74.437;2.517;54.624;3.914;64.551;28.945;29.005
70261;64.81;-147.88;5.867;71.817;2.395;32.428;4.791;52.174;29.156;29.233
70273;61.16;-150.01;4.635;78.691;2.558;58.816;3.749;68.780;29.258;29.337
70308;57.15;-170.21;4.327;92.165;3.498;84.346;3.940;88.334;27.879;28.451
70316;55.20;-162.71;4.794;95.192;3.495;87.657;4.173;91.433;28.811;28.878
70326;58.68;-156.67;5.159;86.676;2.532;60.789;4.079;73.759;28.975;29.036
70350;57.75;-152.50;4.887;98.478;3.371;85.330;4.185;91.922;29.003;29.084
70361;59.51;-139.67;4.331;93.855;2.670;67.564;3.639;80.755;28.912;29.012
70398;55.05;-131.59;4.942;98.904;3.423;87.493;4.232;93.220;29.025;29.134
71043;65.28;-126.75;5.289;73.790;2.533;36.651;4.385;55.389;28.353;28.612
71081;68.76;-81.21;3.091;50.206;2.731;42.169;2.927;46.198;28.496;28.570
71082;82.50;-62.35;2.397;35.092;2.401;36.283;2.399;35.686;28.573;28.667
71109;50.68;-127.36;4.152;92.841;2.661;76.260;3.483;84.590;28.921;29.060
71811;50.21;-66.24;2.870;70.645;2.882;62.282;2.875;66.475;29.156;29.236
71816;53.30;-60.36;3.707;86.003;3.544;76.150;3.631;81.084;28.937;28.982
71867;53.97;-101.09;5.180;84.843;3.356;37.964;4.617;61.430;29.090;29.123
71906;58.11;-68.41;3.690;77.506;3.241;61.269;3.494;69.463;28.033;28.297
71907;58.45;-78.11;3.699;67.161;3.160;55.735;3.456;61.484;28.663;28.844
71913;58.73;-94.08;3.695;62.571;2.954;39.273;3.413;51.030;28.260;28.525
71917;79.98;-85.93;2.916;38.602;2.654;33.768;2.794;36.192;28.997;29.084
71925;69.13;-105.06;3.819;45.718;2.622;31.801;3.330;38.777;29.093;29.166
71926;64.31;-96.00;4.274;52.171;2.747;36.793;3.651;44.565;27.663;27.966
71934;60.03;-111.93;5.727;81.455;2.940;33.489;4.923;57.645;28.732;28.940
71945;58.83;-122.60;6.582;79.279;3.365;29.636;5.692;54.175;28.852;28.527
71957;68.31;-133.53;4.837;63.217;2.298;35.298;3.932;49.322;28.773;28.907
72797;47.95;-124.55;4.982;95.310;2.854;65.151;4.118;80.230;28.679;28.679
04360;65.59;-37.63;2.957;70.897;3.280;77.757;3.126;74.327;26.729;26.727
10035;54.53;9.55;2.593;78.402;4.978;92.376;3.880;85.370;29.216;29.297
10238;52.81;9.93;2.569;65.256;5.342;93.798;4.385;81.496;23.589;20.729
12120;54.75;17.53;2.994;67.216;4.620;92.558;3.890;79.162;25.219;26.749
12374;52.40;20.96;2.633;60.581;5.749;93.366;4.520;76.946;28.866;28.914
21824;71.58;128.91;3.252;49.845;3.063;50.087;3.148;49.979;25.123;22.697
22113;68.98;33.11;3.096;69.485;5.030;83.190;4.114;76.082;26.501;27.526
22217;67.15;32.35;2.856;62.135;4.745;84.484;4.000;73.985;27.227;25.675
22271;67.88;44.13;2.978;60.940;3.639;75.366;3.375;68.859;23.189;21.123
23205;67.63;53.03;2.844;54.921;4.690;75.629;3.816;64.171;21.888;24.500
23330;66.53;66.66;2.483;45.231;4.350;66.449;3.570;55.565;24.792;25.452
23472;65.78;87.93;2.930;55.058;4.506;75.577;3.812;64.921;24.444;25.426
24125;68.50;112.43;3.748;46.797;4.316;61.327;4.091;54.597;24.937;23.226
24959;62.01;129.71;3.969;53.223;3.582;54.904;3.765;54.093;27.879;26.925
25913;59.55;150.78;3.509;76.192;2.591;67.222;3.074;71.658;27.123;26.830
26063;59.95;30.70;2.548;69.212;5.188;91.429;4.030;80.146;27.329;27.764
27612;55.75;37.95;3.055;58.424;5.896;93.401;4.682;74.372;23.167;25.405
28698;54.93;73.40;2.656;38.994;5.571;77.931;4.586;58.269;26.381;26.645
29634;54.96;82.95;2.887;50.072;4.973;84.902;4.040;64.746;20.668;24.530
31004;58.61;125.36;6.059;55.351;5.332;46.889;5.715;50.991;21.093;20.466
32061;50.90;142.16;3.844;87.275;2.970;70.756;3.388;77.796;27.449;23.919
32150;46.95;142.71;3.743;79.778;2.656;69.164;3.214;74.234;28.014;26.816
32540;53.08;158.58;4.008;87.987;2.602;74.941;3.336;81.234;27.978;27.023
33345;50.40;30.56;2.800;73.260;6.303;93.385;4.687;82.886;21.370;22.340
34731;47.25;39.81;2.364;56.053;5.826;92.128;4.376;72.563;20.570;22.473
47401;45.41;141.68;4.557;93.724;4.022;86.514;4.300;90.116;29.255;29.229
50953;45.75;126.76;3.154;61.355;3.361;82.904;3.272;72.083;23.285;23.386
