Station_number;Latitude;Longitude;Inv_00;Inv_P_00;Inv_12;Inv_P_12;Inv_TT;Inv_P_TT;TotalYear;TotalYearTT
01001;70.93;-8.65;4.080;93.191;4.102;92.713;4.091;92.952;28.489;28.533
01028;74.51;19.01;3.892;89.843;3.858;89.171;3.875;89.508;28.304;28.386
01241;63.70;9.60;3.141;77.972;3.336;80.840;3.240;79.402;27.174;27.255
01415;58.86;5.65;3.220;87.122;3.719;94.392;3.480;90.759;27.717;27.701
03005;60.13;-1.17;3.997;97.843;4.494;98.778;4.245;98.308;28.457;28.592
04018;63.95;-22.60;3.092;87.943;3.166;89.294;3.129;88.613;27.109;27.348
04270;61.15;-45.43;2.906;56.905;2.938;55.413;2.922;56.160;27.913;27.967
04320;76.76;-18.65;1.858;28.808;1.943;30.135;1.902;29.470;27.413;27.478
70133;66.86;-162.63;1.952;23.307;1.899;21.036;1.927;22.173;28.315;28.359
70200;64.50;-165.43;2.169;48.891;1.996;42.779;2.088;45.837;27.924;27.935
70219;60.78;-161.84;2.553;34.996;2.266;28.170;2.425;31.590;28.207;28.266
70261;64.81;-147.88;2.819;19.516;2.497;12.944;2.691;16.245;28.467;28.603
70273;61.16;-150.01;2.760;40.083;2.438;28.312;2.628;34.219;28.717;28.826
70308;57.15;-170.21;4.175;94.023;3.866;90.816;4.025;92.439;27.696;28.033
70316;55.20;-162.71;4.182;92.976;3.538;86.521;3.873;89.763;27.902;28.033
70326;58.68;-156.67;3.172;61.211;2.448;44.385;2.868;52.812;28.261;28.310
70350;57.75;-152.50;4.222;96.725;3.488;86.812;3.875;91.778;28.435;28.489
70361;59.51;-139.67;2.917;81.587;2.416;62.929;2.700;72.279;28.500;28.565
70398;55.05;-131.59;4.231;97.784;3.500;88.774;3.885;93.292;28.272;28.359
71043;65.28;-126.75;2.507;28.588;2.308;23.029;2.418;25.817;27.707;27.788
71081;68.76;-81.21;2.290;17.102;2.530;16.144;2.407;16.621;27.739;27.598
71082;82.50;-62.35;1.726;15.376;1.662;16.216;1.693;15.794;28.152;28.321
71109;50.68;-127.36;3.696;93.124;2.685;80.444;3.231;86.825;28.402;28.587
71811;50.21;-66.24;2.937;69.981;2.703;47.155;2.843;58.587;28.652;28.701
71816;53.30;-60.36;3.136;70.506;3.055;54.098;3.102;62.352;28.250;28.424
71867;53.97;-101.09;3.317;55.551;3.093;30.693;3.238;43.132;28.543;28.565
71906;58.11;-68.41;2.589;47.188;2.635;35.201;2.608;41.310;26.772;27.299
71907;58.45;-78.11;3.082;46.562;3.058;40.872;3.071;43.748;27.685;27.989
71913;58.73;-94.08;2.750;28.444;2.649;21.141;2.708;24.843;27.250;27.630
71917;79.98;-85.93;1.819;7.051;2.019;5.936;1.910;6.498;28.380;28.603
71925;69.13;-105.06;1.803;6.621;1.968;6.916;1.887;6.768;28.446;28.505
71926;64.31;-96.00;1.804;8.799;1.931;8.276;1.865;8.540;26.924;27.174
71934;60.03;-111.93;3.441;42.275;2.938;25.784;3.252;34.101;28.076;28.321
71945;58.83;-122.60;4.304;43.009;3.642;27.866;4.041;35.371;28.163;27.918
71957;68.31;-133.53;2.232;20.695;2.254;17.861;2.242;19.288;28.054;28.261
72797;47.95;-124.55;4.222;95.066;2.801;70.680;3.616;82.870;27.989;27.984
04360;65.59;-37.63;3.144;69.421;3.229;69.013;3.186;69.218;25.326;25.424
10035;54.53;9.55;2.819;76.833;3.442;80.790;3.137;78.802;28.630;28.766
10238;52.81;9.93;3.002;71.824;3.750;83.156;3.452;78.236;22.522;19.902
12120;54.75;17.53;3.189;74.018;3.643;83.427;3.416;78.454;25.185;26.712
12374;52.40;20.96;3.016;65.216;3.928;80.904;3.522;73.082;28.630;28.549
21824;71.58;128.91;2.026;20.722;1.995;20.267;2.009;20.464;24.402;21.538
22113;68.98;33.11;3.022;50.511;3.182;52.782;3.100;51.594;26.174;27.451
22217;67.15;32.35;2.894;48.336;3.020;53.925;2.963;51.263;26.587;25.380
22271;67.88;44.13;2.669;52.373;2.657;52.810;2.662;52.613;23.402;21.321
23205;67.63;53.03;2.690;33.991;2.654;36.033;2.673;34.900;21.207;23.826
23330;66.53;66.66;2.063;15.023;1.968;18.330;2.012;16.627;24.609;25.364
23472;65.78;87.93;2.693;29.910;2.632;32.652;2.663;31.222;24.467;25.571
24125;68.50;112.43;2.162;10.672;2.008;10.429;2.078;10.539;25.326;23.103
24959;62.01;129.71;2.499;6.324;2.330;7.206;2.405;6.785;27.152;25.951
25913;59.55;150.78;2.248;56.919;2.301;57.490;2.275;57.213;27.283;26.446
26063;59.95;30.70;2.861;64.796;3.338;73.534;3.108;69.054;26.326;27.011
27612;55.75;37.95;3.309;65.470;4.010;79.393;3.657;71.703;22.576;25.217
28698;54.93;73.40;2.544;23.458;2.575;32.247;2.562;27.687;25.011;25.989
31004;58.61;125.36;4.131;31.358;4.103;32.164;4.116;31.781;22.304;21.239
32061;50.90;142.16;3.425;68.952;3.432;66.276;3.429;67.390;26.913;23.049
32150;46.95;142.71;3.059;51.698;2.788;59.628;2.906;55.901;27.435;25.880
32540;53.08;158.58;2.693;67.609;2.412;64.625;2.551;66.071;26.978;26.174
33345;50.40;30.56;3.302;64.933;4.285;80.665;3.834;72.587;21.587;22.185
47401;45.41;141.68;5.086;99.658;4.971;99.507;5.029;99.583;28.685;28.647
50953;45.75;126.76;1.936;22.370;2.579;64.579;2.415;43.585;27.250;27.109
