Station_number;Latitude;Longitude;Inv_00;Inv_P_00;Inv_12;Inv_P_12;Inv_TT;Inv_P_TT;TotalYear;TotalYearTT
01001;70.93;-8.65;2.975;77.973;3.406;83.271;3.197;80.615;28.913;28.989
01028;74.51;19.01;3.204;72.344;3.742;78.264;3.483;75.299;29.054;29.109
01241;63.70;9.60;2.995;77.325;4.947;97.597;4.086;87.485;27.598;27.533
01415;58.86;5.65;3.224;88.911;5.741;99.343;4.556;94.144;28.120;28.027
03005;60.13;-1.17;3.364;87.993;5.038;94.093;4.224;91.025;28.891;29.065
04018;63.95;-22.60;3.334;93.356;4.972;98.697;4.174;96.022;28.370;28.418
04270;61.15;-45.43;3.236;90.885;3.159;82.670;3.199;86.775;28.413;28.397
04320;76.76;-18.65;2.383;61.916;2.995;73.326;2.715;67.624;28.402;28.386
70133;66.86;-162.63;4.545;95.519;3.034;86.336;3.824;90.900;28.717;28.549
70200;64.50;-165.43;4.677;96.376;2.790;75.747;3.848;86.073;28.728;28.761
70219;60.78;-161.84;5.771;99.548;2.665;81.114;4.376;90.327;28.891;28.880
70261;64.81;-147.88;6.566;99.851;2.446;46.312;5.262;73.106;29.033;29.060
70273;61.16;-150.01;5.227;99.293;2.679;81.649;4.079;90.484;29.141;29.185
70308;57.15;-170.21;4.162;87.725;2.995;77.869;3.627;82.911;27.652;28.304
70316;55.20;-162.71;4.662;93.818;3.225;83.785;3.984;88.797;28.891;28.864
70326;58.68;-156.67;5.823;99.774;2.602;73.494;4.457;86.634;28.870;28.870
70350;57.75;-152.50;4.795;98.912;2.928;79.857;3.962;89.394;28.924;28.951
70361;59.51;-139.67;4.805;98.542;2.757;73.391;3.934;86.009;28.880;28.978
70398;55.05;-131.59;5.044;99.038;3.097;83.520;4.158;91.320;29.087;29.239
71043;65.28;-126.75;6.306;99.736;2.508;46.700;5.113;73.517;28.163;28.484
71081;68.76;-81.21;3.552;74.568;2.798;65.301;3.201;69.957;28.663;28.799
71082;82.50;-62.35;2.663;57.977;2.682;61.332;2.673;59.652;28.391;28.435
71109;50.68;-127.36;3.960;87.698;2.449;66.337;3.314;77.076;28.576;28.734
71811;50.21;-66.24;2.439;66.915;2.627;65.414;2.531;66.168;28.913;29.043
71816;53.30;-60.36;3.872;94.583;3.628;88.814;3.753;91.686;28.957;28.826
71867;53.97;-101.09;6.148;99.061;3.286;39.797;5.327;69.413;28.978;28.962
71906;58.11;-68.41;4.175;93.691;3.320;77.317;3.793;85.585;28.033;28.315
71907;58.45;-78.11;4.091;84.633;2.939;72.270;3.561;78.461;28.772;28.815
71913;58.73;-94.08;4.402;89.215;2.921;52.181;3.859;70.781;28.663;28.793
71917;79.98;-85.93;3.052;76.911;2.746;69.178;2.907;73.046;28.707;28.712
71925;69.13;-105.06;4.633;94.072;2.826;65.980;3.890;80.060;29.011;29.082
71926;64.31;-96.00;5.209;97.534;2.827;69.005;4.231;83.388;27.739;27.973
71934;60.03;-111.93;6.512;99.064;2.768;34.588;5.554;67.063;28.598;28.810
71945;58.83;-122.60;7.429;98.607;2.833;25.509;6.465;61.597;28.804;28.446
71957;68.31;-133.53;6.081;98.528;2.360;61.117;4.662;79.886;28.598;28.696
72797;47.95;-124.55;5.004;91.110;2.690;51.599;4.166;71.336;28.543;28.516
04360;65.59;-37.63;2.799;67.979;3.219;81.214;3.028;74.617;26.674;26.592
10035;54.53;9.55;2.388;82.900;5.944;99.515;4.326;91.197;29.163;29.201
10238;52.81;9.93;2.269;60.579;6.234;99.559;4.995;82.895;24.630;21.511
12120;54.75;17.53;2.908;64.444;5.454;99.400;4.392;81.054;25.380;26.707
12374;52.40;20.96;2.151;54.955;6.760;99.886;5.112;77.289;28.620;28.788
21824;71.58;128.91;3.817;82.908;3.632;81.870;3.717;82.343;24.880;22.870
22113;68.98;33.11;2.988;76.533;5.858;99.069;4.560;87.426;25.696;26.582
22217;67.15;32.35;2.831;67.875;5.537;99.116;4.531;84.637;27.065;25.223
22271;67.88;44.13;3.139;65.887;4.346;92.821;3.894;80.499;21.500;19.815
23205;67.63;53.03;2.967;70.305;5.776;98.582;4.470;83.050;22.228;24.658
23330;66.53;66.66;2.507;70.352;5.406;99.026;4.207;84.740;24.554;24.467
23472;65.78;87.93;2.896;74.373;5.344;98.875;4.245;86.129;23.196;24.174
24125;68.50;112.43;3.695;74.516;4.663;95.590;4.260;85.514;22.674;21.723
24959;62.01;129.71;3.838;84.425;3.493;83.392;3.662;83.893;28.011;27.196
25913;59.55;150.78;3.950;83.104;2.643;66.583;3.371;74.874;25.859;25.957
26063;59.95;30.70;2.154;71.683;6.187;99.843;4.490;85.686;27.717;27.870
27612;55.75;37.95;2.668;48.015;6.874;99.764;5.385;72.209;23.076;24.679
28698;54.93;73.40;2.458;43.454;6.483;99.531;5.282;71.859;27.783;27.424
31004;58.61;125.36;6.456;66.756;5.706;48.738;6.136;57.659;20.674;20.473
32061;50.90;142.16;4.039;94.527;2.372;68.635;3.219;79.740;27.239;23.848
32150;46.95;142.71;3.865;93.722;2.342;71.034;3.185;82.026;28.370;27.516
32540;53.08;158.58;4.230;93.612;2.326;66.784;3.393;79.564;27.685;26.435
33345;50.40;30.56;2.290;75.095;7.538;99.592;5.195;86.930;21.293;22.038
34731;47.25;39.81;1.819;44.873;6.885;99.600;5.204;70.909;21.739;22.848
47401;45.41;141.68;4.045;93.029;3.022;82.586;3.566;87.828;29.087;29.201
