Station_number;Latitude;Longitude;Inv_00;Inv_P_00;Inv_12;Inv_P_12;Inv_TT;Inv_P_TT;TotalYear;TotalYearTT
01001;70.93;-8.65;4.067;93.211;4.136;93.988;4.102;93.598;28.833;28.983
01028;74.51;19.01;3.723;88.546;3.805;90.189;3.764;89.362;28.767;28.983
01241;63.70;9.60;3.151;81.208;3.731;86.243;3.448;83.709;27.944;28.133
01415;58.86;5.65;3.182;89.110;4.268;96.631;3.746;92.864;28.367;28.417
03005;60.13;-1.17;3.992;98.102;4.848;98.928;4.420;98.513;29.011;29.144
04018;63.95;-22.60;3.158;90.086;3.507;92.323;3.334;91.197;28.078;28.272
04270;61.15;-45.43;2.957;62.859;3.034;59.423;2.995;61.145;28.478;28.539
04320;76.76;-18.65;1.940;28.064;1.947;31.879;1.944;29.965;28.267;28.367
70133;66.86;-162.63;1.898;24.121;1.722;17.212;1.825;20.679;28.856;28.961
70200;64.50;-165.43;2.378;55.000;1.894;38.554;2.179;46.799;28.733;28.811
70219;60.78;-161.84;2.932;43.445;2.227;29.414;2.648;36.447;29.011;29.083
70261;64.81;-147.88;3.726;43.644;2.452;15.341;3.397;29.557;29.189;29.322
70273;61.16;-150.01;3.326;58.045;2.343;34.244;2.963;46.203;29.267;29.411
70308;57.15;-170.21;4.091;91.956;3.645;86.272;3.879;89.162;28.167;28.656
70316;55.20;-162.71;4.513;93.153;3.572;86.222;4.063;89.703;28.467;28.594
70326;58.68;-156.67;3.950;71.515;2.568;47.925;3.400;59.790;28.911;29.083
70350;57.75;-152.50;4.727;98.324;3.502;88.965;4.146;93.651;29.100;29.139
70361;59.51;-139.67;3.697;89.317;2.519;62.981;3.212;76.214;29.144;29.289
70398;55.05;-131.59;4.677;98.080;3.553;89.244;4.144;93.683;29.233;29.372
71043;65.28;-126.75;3.034;47.281;2.361;22.678;2.817;35.053;28.467;28.639
71081;68.76;-81.21;2.343;15.879;2.439;13.831;2.388;14.853;28.278;28.239
71082;82.50;-62.35;1.617;14.329;1.518;14.523;1.567;14.425;28.767;28.961
71109;50.68;-127.36;4.167;94.737;2.769;80.076;3.530;87.436;29.111;29.228
71811;50.21;-66.24;3.037;73.125;2.678;48.386;2.895;60.802;29.256;29.367
71816;53.30;-60.36;3.310;74.514;3.083;56.387;3.212;65.482;28.967;29.067
71867;53.97;-101.09;3.827;72.441;2.910;28.924;3.566;50.712;29.233;29.272
71906;58.11;-68.41;2.670;51.623;2.605;31.088;2.646;41.453;27.878;28.144
71907;58.45;-78.11;2.605;36.965;2.425;26.079;2.531;31.567;28.589;28.828
71913;58.73;-94.08;2.598;33.462;2.456;17.506;2.550;25.614;27.800;28.261
71917;79.98;-85.93;1.769;6.846;2.191;6.142;1.967;6.496;28.944;29.161
71925;69.13;-105.06;1.720;6.634;1.876;5.287;1.789;5.964;29.000;29.156
71926;64.31;-96.00;1.985;9.189;1.933;6.411;1.964;7.818;27.211;27.572
71934;60.03;-111.93;4.365;63.186;2.823;24.125;3.945;43.858;28.556;28.856
71945;58.83;-122.60;5.254;64.613;3.567;30.580;4.702;47.361;28.922;28.528
71957;68.31;-133.53;2.267;26.900;2.245;15.257;2.259;21.126;28.767;29.006
72797;47.95;-124.55;4.777;96.886;2.906;72.108;3.981;84.535;28.722;28.811
04360;65.59;-37.63;3.112;68.303;3.188;70.601;3.151;69.452;26.267;26.261
10035;54.53;9.55;2.902;78.751;3.997;85.399;3.469;82.057;29.222;29.383
10238;52.81;9.93;2.965;71.934;4.357;88.792;3.825;81.490;23.000;20.289
12120;54.75;17.53;3.228;73.349;4.064;87.984;3.658;80.208;25.522;27.228
12374;52.40;20.96;3.025;67.607;4.749;88.249;4.000;77.922;29.122;29.139
21824;71.58;128.91;2.079;19.518;2.042;21.001;2.058;20.360;24.867;21.883
22113;68.98;33.11;2.983;53.484;3.797;64.649;3.408;58.786;26.244;27.633
22217;67.15;32.35;2.916;48.911;3.666;66.901;3.366;58.321;26.856;25.672
22271;67.88;44.13;2.383;47.041;2.538;52.698;2.474;50.208;23.889;21.333
23205;67.63;53.03;2.540;33.388;2.990;46.883;2.777;39.357;21.567;24.378
23330;66.53;66.66;2.075;17.477;2.394;29.248;2.268;23.126;25.111;26.161
23472;65.78;87.93;2.606;30.622;3.019;49.570;2.853;39.709;24.544;25.589
24125;68.50;112.43;2.270;11.715;2.210;25.965;2.226;19.583;26.189;23.717
24959;62.01;129.71;2.355;12.148;2.284;15.299;2.314;13.802;27.889;26.567
25913;59.55;150.78;2.748;68.358;2.426;68.207;2.582;68.280;28.133;27.094
26063;59.95;30.70;2.801;66.206;3.990;81.711;3.439;73.710;26.367;27.239
27612;55.75;37.95;3.206;64.017;4.769;87.166;4.016;74.234;22.422;25.400
28698;54.93;73.40;2.510;24.518;3.179;48.177;2.942;35.884;25.600;26.644
29634;54.96;82.95;2.843;37.662;3.389;67.876;3.152;50.353;20.511;24.417
31004;58.61;125.36;4.369;31.501;4.270;29.314;4.318;30.329;22.667;21.139
32061;50.90;142.16;3.366;74.600;3.061;64.953;3.196;68.896;28.089;23.756
32150;46.95;142.71;3.179;59.550;2.722;65.464;2.927;62.669;28.633;27.144
32540;53.08;158.58;3.300;79.158;2.621;75.271;2.958;77.148;27.678;26.767
33345;50.40;30.56;3.217;69.486;5.100;86.833;4.223;77.794;21.856;22.817
47401;45.41;141.68;5.006;99.245;4.752;98.941;4.879;99.093;29.389;29.406
50557;49.16;125.23;2.477;20.327;2.422;31.570;2.444;25.918;20.167;20.278
50774;47.71;128.90;2.858;26.681;2.903;78.258;2.891;52.285;20.033;20.178
50953;45.75;126.76;2.330;33.749;3.028;75.995;2.813;54.898;26.800;26.767
