Station_number;Latitude;Longitude;Inv_00;Inv_P_00;Inv_12;Inv_P_12;Inv_TT;Inv_P_TT;TotalYear;TotalYearTT
01001;70.93;-8.65;2.707;70.340;3.171;77.387;2.950;73.859;29.033;29.065
01028;74.51;19.01;3.135;68.729;3.740;75.056;3.450;71.890;28.935;28.962
01241;63.70;9.60;3.130;76.992;5.140;97.927;4.255;87.454;27.793;27.810
01415;58.86;5.65;3.219;84.932;5.768;99.226;4.594;92.090;28.076;28.033
03005;60.13;-1.17;3.342;85.885;5.115;93.107;4.259;89.476;28.859;29.022
04018;63.95;-22.60;3.428;93.473;5.177;98.476;4.326;95.977;28.533;28.505
04270;61.15;-45.43;3.522;94.261;3.317;85.481;3.424;89.865;28.674;28.636
04320;76.76;-18.65;2.367;56.625;2.975;68.222;2.699;62.419;28.424;28.446
70133;66.86;-162.63;4.182;83.068;2.836;73.336;3.546;78.165;28.413;28.201
70200;64.50;-165.43;4.165;91.202;2.651;64.543;3.538;77.873;28.663;28.663
70219;60.78;-161.84;6.027;99.548;2.608;80.197;4.505;89.894;28.707;28.772
70261;64.81;-147.88;7.031;100.000;2.385;46.812;5.552;73.436;28.978;29.011
70273;61.16;-150.01;5.457;99.740;2.757;84.813;4.219;92.293;29.130;29.196
70308;57.15;-170.21;3.587;83.994;2.565;68.250;3.143;76.346;27.457;28.261
70316;55.20;-162.71;4.583;92.793;3.122;81.999;3.899;87.402;29.043;29.076
70326;58.68;-156.67;5.988;99.510;2.558;71.643;4.550;85.558;28.902;28.864
70350;57.75;-152.50;4.665;98.504;2.993;80.789;3.914;89.668;28.913;28.984
70361;59.51;-139.67;4.948;97.943;2.902;74.436;4.067;86.220;28.913;28.989
70398;55.05;-131.59;5.315;98.997;3.227;83.949;4.359;91.490;29.120;29.185
71043;65.28;-126.75;6.777;99.812;2.407;45.930;5.426;73.257;28.043;28.451
71081;68.76;-81.21;3.248;70.030;2.539;59.219;2.924;64.645;28.652;28.761
71082;82.50;-62.35;2.755;61.396;2.858;64.679;2.808;63.034;28.065;28.125
71109;50.68;-127.36;4.260;91.854;2.661;72.534;3.559;82.245;28.652;28.804
71811;50.21;-66.24;2.607;67.051;2.959;69.323;2.785;68.184;29.054;29.141
71816;53.30;-60.36;4.190;95.503;3.852;90.000;4.026;92.744;28.913;28.837
71867;53.97;-101.09;6.333;98.836;3.084;38.571;5.422;68.721;28.913;28.929
71906;58.11;-68.41;4.375;91.701;3.391;75.388;3.936;83.637;28.043;28.364
71907;58.45;-78.11;4.016;80.689;2.625;63.863;3.404;72.309;28.815;28.929
71913;58.73;-94.08;4.311;81.890;2.574;41.534;3.728;61.750;28.761;28.815
71917;79.98;-85.93;3.148;82.273;2.788;76.113;2.974;79.187;28.804;28.750
71925;69.13;-105.06;4.647;90.540;2.635;59.514;3.851;75.056;29.076;29.130
71926;64.31;-96.00;5.248;95.318;2.653;62.329;4.233;78.974;27.815;28.071
71934;60.03;-111.93;6.813;98.728;2.561;31.399;5.797;65.298;28.663;28.864
71945;58.83;-122.60;7.756;99.067;2.835;26.075;6.706;62.033;28.804;28.386
71957;68.31;-133.53;6.460;98.796;2.108;53.124;4.944;76.029;28.707;28.793
72797;47.95;-124.55;5.258;92.583;2.927;59.403;4.343;75.933;28.783;28.679
04360;65.59;-37.63;2.621;61.618;3.058;76.259;2.863;68.928;27.196;27.234
10035;54.53;9.55;2.483;80.839;6.221;99.814;4.545;90.307;29.152;29.212
10238;52.81;9.93;2.241;62.626;6.480;99.824;5.133;83.972;24.750;21.565
12120;54.75;17.53;2.782;61.322;5.270;98.900;4.255;79.121;24.707;26.082
12374;52.40;20.96;2.109;56.627;6.980;99.924;5.214;78.234;28.511;28.565
21824;71.58;128.91;3.906;74.195;3.624;71.258;3.755;72.598;24.543;22.571
22113;68.98;33.11;3.087;74.516;6.051;98.472;4.737;86.187;25.609;26.283
22217;67.15;32.35;2.798;67.559;5.721;98.873;4.629;84.283;27.000;25.277
22271;67.88;44.13;3.083;56.235;4.195;88.773;3.806;73.836;21.978;20.315
23205;67.63;53.03;3.040;66.060;5.985;98.896;4.667;80.898;22.652;25.065
23330;66.53;66.66;2.590;69.346;5.599;98.982;4.354;84.108;24.565;24.658
23472;65.78;87.93;2.978;75.086;5.628;99.215;4.440;86.726;23.543;24.402
24125;68.50;112.43;4.341;84.596;5.415;97.191;4.944;91.235;23.989;22.755
24959;62.01;129.71;4.352;90.391;4.027;92.971;4.182;91.725;27.989;27.060
25913;59.55;150.78;3.777;73.262;2.472;50.298;3.254;61.934;25.565;25.913
26063;59.95;30.70;2.044;65.616;6.397;99.682;4.660;82.572;27.348;27.473
27612;55.75;37.95;2.538;44.538;7.167;99.818;5.614;70.481;23.848;25.408
28698;54.93;73.40;2.387;41.245;6.804;99.347;5.549;70.946;28.304;27.685
29634;54.96;82.95;2.490;48.503;6.162;99.095;4.677;69.692;20.413;24.370
32061;50.90;142.16;3.544;87.154;2.139;60.560;2.869;71.961;27.174;23.783
32150;46.95;142.71;3.669;90.394;2.179;65.749;3.021;77.722;28.022;27.250
32540;53.08;158.58;4.204;92.564;2.400;63.731;3.438;77.645;27.272;26.353
33345;50.40;30.56;2.202;76.839;7.688;99.686;5.167;87.705;20.772;21.837
34731;47.25;39.81;1.758;45.302;6.942;99.702;5.221;71.290;21.902;22.924
47401;45.41;141.68;3.314;84.775;2.459;67.831;2.934;76.305;29.261;29.266
